"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"16-May-2024","EQ","7,251.00","7,320.00","7,243.00","7,222.25","7,294.00","7,299.60","7,273.38","9,200.00","6,715.00","1,46,481","1,06,54,11,962.50","16,704"
"15-May-2024","EQ","7,097.00","7,271.00","7,065.00","7,088.15","7,231.00","7,222.25","7,193.61","9,200.00","6,715.00","1,26,317","90,86,74,825.80","20,681"
"14-May-2024","EQ","7,070.00","7,131.00","7,055.45","7,069.00","7,087.05","7,088.15","7,083.74","9,200.00","6,715.00","50,731","35,93,65,075.35","10,739"
"13-May-2024","EQ","7,120.00","7,120.00","7,006.00","7,127.40","7,100.00","7,069.00","7,044.42","9,200.00","6,715.00","84,651","59,63,17,438.05","17,854"
"10-May-2024","EQ","7,151.20","7,151.20","7,070.50","7,151.45","7,109.00","7,127.40","7,112.61","9,200.00","6,671.75","70,788","50,34,87,633.55","16,442"
"09-May-2024","EQ","7,115.60","7,188.00","7,076.30","7,115.60","7,134.00","7,151.45","7,115.90","9,200.00","6,671.75","82,557","58,74,67,609.30","14,539"
"08-May-2024","EQ","7,140.00","7,145.00","7,062.00","7,137.85","7,108.00","7,115.60","7,102.47","9,200.00","6,671.75","65,874","46,78,67,970.00","15,625"
"07-May-2024","EQ","7,143.95","7,159.00","7,010.75","7,087.55","7,116.05","7,137.85","7,086.83","9,200.00","6,671.75","84,322","59,75,75,470.60","19,466"
"06-May-2024","EQ","7,148.00","7,165.90","7,071.15","7,111.75","7,085.00","7,087.55","7,091.45","9,200.00","6,671.75","67,837","48,10,62,843.50","14,013"
"03-May-2024","EQ","7,195.00","7,198.00","7,080.00","7,151.45","7,110.00","7,111.75","7,121.72","9,200.00","6,555.70","82,962","59,08,31,921.55","17,681"
"02-May-2024","EQ","7,098.00","7,195.00","7,065.90","7,051.90","7,140.05","7,151.45","7,136.26","9,200.00","6,555.70","1,17,397","83,77,74,997.45","23,234"
"30-Apr-2024","EQ","7,100.00","7,162.95","7,025.00","7,102.60","7,050.00","7,051.90","7,097.43","9,200.00","6,555.70","1,34,157","95,21,69,334.10","23,485"
"29-Apr-2024","EQ","7,174.00","7,174.00","7,078.05","7,103.70","7,102.45","7,102.60","7,115.20","9,200.00","6,555.70","93,406","66,46,01,908.90","17,215"
"26-Apr-2024","EQ","7,130.00","7,195.00","7,082.00","7,093.90","7,110.00","7,103.70","7,136.20","9,200.00","6,220.05","1,25,101","89,27,46,269.95","22,159"
"25-Apr-2024","EQ","7,087.15","7,115.00","7,060.00","7,030.15","7,089.45","7,093.90","7,093.38","9,200.00","6,220.05","1,45,948","1,03,52,65,317.00","21,926"
"24-Apr-2024","EQ","7,034.05","7,247.30","7,000.00","7,395.20","7,051.00","7,030.15","7,069.49","9,200.00","6,220.05","8,06,331","5,70,03,46,509.40","1,38,223"
"23-Apr-2024","EQ","7,498.00","7,498.80","7,380.00","7,436.65","7,390.00","7,395.20","7,423.00","9,200.00","6,220.05","1,27,264","94,46,81,021.70","28,732"
"22-Apr-2024","EQ","7,487.00","7,575.75","7,420.00","7,451.00","7,430.00","7,436.65","7,468.39","9,200.00","6,220.05","1,21,025","90,38,61,738.60","25,348"
"19-Apr-2024","EQ","7,474.00","7,475.85","7,368.00","7,493.35","7,440.80","7,451.00","7,425.27","9,200.00","6,180.00","97,601","72,47,13,582.50","19,862"
"18-Apr-2024","EQ","7,578.05","7,584.30","7,477.00","7,530.00","7,480.50","7,493.35","7,513.30","9,200.00","6,180.00","1,38,170","1,03,81,13,081.20","28,932"
"16-Apr-2024","EQ","7,526.95","7,629.90","7,510.10","7,525.75","7,529.00","7,530.00","7,559.04","9,200.00","6,180.00","80,626","60,94,55,507.75","19,076"
"15-Apr-2024","EQ","7,669.95","7,710.00","7,506.00","7,753.75","7,579.00","7,525.75","7,592.41","9,200.00","6,180.00","1,85,200","1,40,61,15,192.40","34,077"
"12-Apr-2024","EQ","7,847.00","7,898.80","7,733.00","7,846.75","7,755.00","7,753.75","7,813.99","9,200.00","6,043.95","98,316","76,82,40,101.95","18,944"
"10-Apr-2024","EQ","7,956.00","7,956.00","7,801.00","7,900.05","7,844.00","7,846.75","7,857.38","9,200.00","6,043.95","82,754","65,02,29,780.70","17,543"
"09-Apr-2024","EQ","7,985.85","8,009.00","7,871.00","7,922.45","7,890.00","7,900.05","7,933.93","9,200.00","6,043.95","1,15,014","91,25,12,948.25","17,893"
"08-Apr-2024","EQ","8,120.05","8,133.85","7,814.00","8,041.55","7,920.00","7,922.45","7,998.48","9,200.00","6,043.95","1,25,342","1,00,25,45,092.60","16,829"
"05-Apr-2024","EQ","8,027.50","8,174.20","7,988.10","8,027.50","8,050.00","8,041.55","8,075.32","9,200.00","5,975.25","1,25,061","1,00,99,08,023.10","20,862"
"04-Apr-2024","EQ","8,117.85","8,195.00","7,985.00","7,997.90","8,021.00","8,027.50","8,085.00","9,200.00","5,975.25","2,24,695","1,81,66,59,105.75","31,384"
"03-Apr-2024","EQ","7,703.00","8,106.00","7,666.00","7,701.75","8,012.00","7,997.90","7,984.30","9,200.00","5,975.25","6,21,796","4,96,46,06,870.75","73,434"
"02-Apr-2024","EQ","7,740.00","7,769.90","7,645.00","7,745.30","7,702.95","7,701.75","7,700.96","9,200.00","5,975.25","93,065","71,66,90,107.10","13,814"
"01-Apr-2024","EQ","7,845.00","7,858.00","7,725.40","7,785.15","7,760.05","7,745.30","7,784.84","9,200.00","5,975.25","78,571","61,16,62,771.95","16,281"
"28-Mar-2024","EQ","7,750.00","7,870.00","7,704.00","7,674.80","7,753.65","7,785.15","7,784.35","9,200.00","5,882.55","2,73,766","2,13,10,91,014.30","35,583"
"27-Mar-2024","EQ","7,725.00","7,751.95","7,632.10","7,693.75","7,661.65","7,674.80","7,661.96","9,200.00","5,882.55","1,56,037","1,19,55,49,089.05","15,852"
"26-Mar-2024","EQ","7,500.05","7,725.00","7,500.05","7,665.00","7,715.00","7,693.75","7,657.12","9,200.00","5,882.55","1,17,670","90,10,13,813.05","16,734"
"22-Mar-2024","EQ","7,655.55","7,689.80","7,616.95","7,704.75","7,665.00","7,665.00","7,654.90","9,200.00","5,882.55","63,721","48,77,77,831.05","11,857"
"21-Mar-2024","EQ","7,626.05","7,719.95","7,588.95","7,556.50","7,697.00","7,704.75","7,665.94","9,200.00","5,882.55","79,906","61,25,54,747.75","14,549"
"20-Mar-2024","EQ","7,633.00","7,675.00","7,525.00","7,635.85","7,560.00","7,556.50","7,573.02","9,200.00","5,882.55","67,469","51,09,43,981.65","13,797"
"19-Mar-2024","EQ","7,708.00","7,718.75","7,552.05","7,702.70","7,602.00","7,635.85","7,618.31","9,200.00","5,882.55","78,340","59,68,18,795.00","15,958"
"18-Mar-2024","EQ","7,725.00","7,790.00","7,657.00","7,707.00","7,725.00","7,702.70","7,731.28","9,200.00","5,882.55","79,507","61,46,91,237.25","15,342"
"15-Mar-2024","EQ","7,744.00","7,825.00","7,600.00","7,730.60","7,715.00","7,707.00","7,705.50","9,200.00","5,882.55","1,66,240","1,28,09,61,626.65","30,142"
"14-Mar-2024","EQ","7,456.75","7,772.25","7,351.95","7,392.80","7,731.05","7,730.60","7,584.30","9,200.00","5,882.55","1,34,183","1,01,76,83,750.30","25,903"
"13-Mar-2024","EQ","7,650.00","7,837.65","7,335.00","7,573.90","7,399.00","7,392.80","7,620.77","9,200.00","5,882.55","3,14,712","2,39,83,46,867.85","49,363"
"12-Mar-2024","EQ","7,706.00","7,838.80","7,515.00","7,702.95","7,552.00","7,573.90","7,672.79","9,200.00","5,882.55","1,12,485","86,30,73,623.35","22,901"
"11-Mar-2024","EQ","7,724.90","7,748.00","7,633.15","7,686.75","7,711.90","7,702.95","7,689.67","9,200.00","5,882.55","1,32,700","1,02,04,19,034.25","22,822"
"07-Mar-2024","EQ","7,590.10","7,914.60","7,585.85","7,602.30","7,684.00","7,686.75","7,752.86","9,200.00","5,882.55","3,02,528","2,34,54,58,199.10","45,259"
"06-Mar-2024","EQ","7,710.00","7,723.90","7,540.10","7,662.45","7,605.00","7,602.30","7,583.83","9,200.00","5,882.55","1,06,522","80,78,44,972.25","19,197"
"05-Mar-2024","EQ","7,692.90","7,732.95","7,601.05","7,692.90","7,660.00","7,662.45","7,639.75","9,200.00","5,882.55","1,07,340","82,00,50,264.85","15,979"
"04-Mar-2024","EQ","7,819.00","7,839.80","7,658.85","7,792.65","7,695.00","7,692.90","7,719.07","9,200.00","5,882.55","1,01,325","78,21,35,083.85","21,773"
"02-Mar-2024","EQ","7,753.00","7,819.90","7,745.00","7,745.25","7,770.90","7,792.65","7,797.01","9,200.00","5,882.55","13,355","10,41,29,107.45","2,957"
"01-Mar-2024","EQ","7,900.00","7,993.20","7,720.00","7,811.05","7,731.00","7,745.25","7,844.37","9,200.00","5,882.55","2,17,687","1,70,76,18,367.05","31,222"
"29-Feb-2024","EQ","7,580.00","7,950.00","7,440.00","7,593.65","7,915.00","7,811.05","7,698.73","9,200.00","5,882.55","3,07,875","2,37,02,46,752.35","47,054"
"28-Feb-2024","EQ","7,695.00","7,716.45","7,562.00","7,640.60","7,586.00","7,593.65","7,618.68","9,200.00","5,882.55","72,324","55,10,13,645.45","14,495"
"27-Feb-2024","EQ","7,715.00","7,744.40","7,605.00","7,706.90","7,649.00","7,640.60","7,649.04","9,200.00","5,882.55","92,008","70,37,72,598.10","19,352"
"26-Feb-2024","EQ","7,853.00","7,859.80","7,685.00","7,812.30","7,698.50","7,706.90","7,732.45","9,200.00","5,882.55","69,244","53,54,25,537.85","16,267"
"23-Feb-2024","EQ","7,900.05","7,995.00","7,750.00","7,791.05","7,810.00","7,812.30","7,904.07","9,200.00","5,882.55","1,72,141","1,36,06,14,113.50","23,558"
"22-Feb-2024","EQ","7,806.00","7,807.00","7,746.75","7,746.20","7,792.00","7,791.05","7,782.59","9,200.00","5,882.55","83,690","65,13,25,285.25","14,126"
"21-Feb-2024","EQ","7,846.25","7,849.00","7,712.05","7,776.30","7,727.90","7,746.20","7,777.44","9,200.00","5,882.55","1,07,925","83,93,80,334.35","18,831"
"20-Feb-2024","EQ","7,755.00","7,838.15","7,610.00","7,708.65","7,769.85","7,776.30","7,740.65","9,200.00","5,882.55","1,91,041","1,47,87,81,536.90","28,922"
"19-Feb-2024","EQ","7,560.00","7,744.70","7,550.15","7,513.45","7,715.90","7,708.65","7,685.80","9,200.00","5,882.55","1,46,755","1,12,79,28,945.85","24,389"
"16-Feb-2024","EQ","7,518.00","7,539.90","7,475.20","7,470.20","7,515.75","7,513.45","7,510.88","9,200.00","5,882.55","80,901","60,76,37,929.80","16,184"
"15-Feb-2024","EQ","7,499.95","7,540.00","7,450.00","7,429.55","7,462.00","7,470.20","7,482.08","9,200.00","5,882.55","61,560","46,05,96,719.15","12,751"
"14-Feb-2024","EQ","7,440.00","7,449.90","7,350.00","7,443.30","7,434.25","7,429.55","7,408.49","9,200.00","5,882.55","1,04,915","77,72,61,854.10","19,640"
